Carimbo de data/hora,Marque as afirmativas VERDADEIRAS
16/05/2020 15:23:07,"Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, A loss padrão no caso de regressão é a MAE., XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:23:08,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:23:23,"Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, A loss padrão no caso de regressão é a MAE., XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:23:23,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, A loss padrão no caso de regressão é a MAE., XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:23:25,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior., O algoritmo pára quando alcançar o menor valor possível da loss (mínimo global)."
16/05/2020 15:23:36,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:23:37,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior., O algoritmo pára quando alcançar o menor valor possível da loss (mínimo global)."
16/05/2020 15:23:41,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss."
16/05/2020 15:23:56,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, A loss padrão no caso de regressão é a MAE., XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:24:13,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior., O algoritmo pára quando alcançar o menor valor possível da loss (mínimo global)."
16/05/2020 15:24:18,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior."
16/05/2020 15:24:21,"O XGBoost é um algoritmo ganancioso tanto na hora de crescer uma árvore quanto na hora de combiná-las., Existem 8 principais hiperparâmetros: lambda, learn rate, loss reduction, trees, tree depth, mtry, sample_size, min_n, A loss padrão no caso de regressão é a MAE., XGBoost usa a segunda expansão de Taylor da loss e por isso precisamos da primeira e da segunda derivada da loss., Em cada passo, é como se ajustássemos uma árvore para prever o resíduo da árvore anterior., O algoritmo pára quando alcançar o menor valor possível da loss (mínimo global)."
